0;1;2;3
206297.0;0.5869126199779875;3.0; A_PREACCEPTED
206309.0;1.2188975384710838;4.0; A_PREACCEPTED
206333.0;0.6833635146273365;1.0; A_SUBMITTED
206336.0;0.23323202824262146;1.0; A_SUBMITTED
206339.0;0.5790979803721694;3.0; A_PREACCEPTED
206342.0;0.35497931989620124;3.0; A_PREACCEPTED
206348.0;0.34578239615489537;3.0; A_PREACCEPTED
206315.0;1.669235622001775;5.0; A_PREACCEPTED
206366.0;0.9683963687100048;3.0; A_PREACCEPTED
206369.0;1.2361651279583072;3.0; A_PREACCEPTED
206291.0;0.10771583660544937;7.0; A_FINALIZED
206372.0;1.2371621054110946;3.0; A_PREACCEPTED
206384.0;0.14598339331490484;3.0; A_PREACCEPTED
206414.0;0.35849881893664315;4.0; W_Afhandelen leads
206420.0;0.9239077796472772;3.0; A_PREACCEPTED
206417.0;0.17002107949676204;8.0; A_FINALIZED
206453.0;0.30388234773909395;4.0; W_Completeren aanvraag
206432.0;0.7235385702348773;4.0; A_PREACCEPTED
206438.0;1.3102908024535553;4.0; A_PREACCEPTED
206441.0;1.0538787899057391;5.0; W_Completeren aanvraag
206471.0;1.1546252697423989;3.0; A_PREACCEPTED
206477.0;0.24593025097646226;3.0; A_PREACCEPTED
206480.0;1.0774758464802177;3.0; A_PREACCEPTED
206489.0;0.9793460999662236;3.0; A_PREACCEPTED
206483.0;1.0542685678240686;6.0; A_FINALIZED
206597.0;0.5619239979700927;3.0; A_PREACCEPTED
206600.0;0.49111067537579944;3.0; A_PREACCEPTED
206615.0;0.2006722622415269;1.0; A_SUBMITTED
206624.0;1.6162894175065627;3.0; A_PREACCEPTED
206627.0;1.323463862197277;3.0; A_PREACCEPTED
206636.0;0.6544717998960337;1.0; A_SUBMITTED
206642.0;0.24724966541163695;1.0; A_SUBMITTED
206645.0;0.8780956415855248;1.0; A_SUBMITTED
206660.0;0.7890685761411365;1.0; A_SUBMITTED
206669.0;0.42226419810302285;1.0; A_SUBMITTED
206558.0;2.1299638821414573;3.0; W_Afhandelen leads
206567.0;2.6132569929516825;3.0; W_Afhandelen leads
206513.0;1.6808627343039602;4.0; W_Completeren aanvraag
206543.0;3.4969534143975327;4.0; W_Completeren aanvraag
206267.0;3.3735261648320947;5.0; W_Completeren aanvraag
206546.0;4.6108050976548345;4.0; W_Completeren aanvraag
206549.0;3.0504436543417386;4.0; W_Completeren aanvraag
206751.0;1.109967693912668;4.0; A_PREACCEPTED
206609.0;0.19329371546060026;4.0; W_Completeren aanvraag
206579.0;2.6781528565914816;11.0; O_SENT
206901.0;1.234648026972316;4.0; W_Completeren aanvraag
206633.0;0.9981336206948608;7.0; A_FINALIZED
206672.0;0.4316206089235719;9.0; O_SELECTED
206883.0;2.147034032787249;5.0; W_Completeren aanvraag
206880.0;0.010629682456553935;4.0; W_Completeren aanvraag
206910.0;0.9153100001883514;4.0; W_Completeren aanvraag
206763.0;0.9202063002892191;4.0; W_Completeren aanvraag
206504.0;0.05601714414359504;12.0; W_Nabellen offertes
207020.0;1.5869825662820727;6.0; A_PREACCEPTED
207119.0;0.3887718219842229;6.0; O_SELECTED
207218.0;0.10248987589527192;7.0; O_SELECTED
206606.0;0.8528153051913994;10.0; A_FINALIZED
207047.0;0.8037575883131696;7.0; W_Completeren aanvraag
206811.0;0.17551472761683207;6.0; W_Completeren aanvraag
207215.0;1.2361175206258297;4.0; W_Completeren aanvraag
206952.0;3.663817454636174;7.0; W_Completeren aanvraag
207359.0;0.06543779918939574;9.0; A_PREACCEPTED
207328.0;0.9534885268517832;4.0; W_Completeren aanvraag
207392.0;0.06484613018756136;4.0; W_Completeren aanvraag
207407.0;0.984897841928168;5.0; W_Completeren aanvraag
207380.0;1.2016190141784686;5.0; W_Completeren aanvraag
207449.0;0.1629001049946206;5.0; W_Completeren aanvraag
207464.0;0.6232914900804587;4.0; W_Completeren aanvraag
207470.0;0.8547044607435392;4.0; W_Completeren aanvraag
207488.0;0.4185109420444033;3.0; A_PREACCEPTED
207413.0;0.32952556098935415;9.0; O_SELECTED
206721.0;0.20895110326134558;8.0; W_Completeren aanvraag
207503.0;0.5344256076351634;3.0; A_PREACCEPTED
207506.0;0.7772523501520501;3.0; A_PREACCEPTED
207461.0;0.9870924949334792;4.0; W_Completeren aanvraag
207515.0;0.14945734909041275;3.0; A_PREACCEPTED
207527.0;0.5886075497295473;3.0; A_PREACCEPTED
206411.0;0.6165334399639353;7.0; W_Completeren aanvraag
207539.0;0.008751973277743463;3.0; A_PREACCEPTED
207284.0;0.22200453320770497;9.0; O_SELECTED
207560.0;1.7987287841102146;5.0; A_ACCEPTED
207044.0;1.0963666936738403;8.0; A_ACCEPTED
207128.0;1.9459441048461144;9.0; W_Completeren aanvraag
207440.0;1.5469332693550446;5.0; W_Completeren aanvraag
207593.0;0.811681737982163;4.0; W_Completeren aanvraag
207599.0;0.4192877826792287;4.0; W_Completeren aanvraag
207245.0;1.0333685934513932;8.0; W_Completeren aanvraag
207485.0;1.575737909192601;7.0; W_Completeren aanvraag
207783.0;0.16394833072226156;9.0; O_SENT
207792.0;0.78034087761288;9.0; O_SELECTED
207831.0;3.5401165123335545;3.0; W_Afhandelen leads
207825.0;3.1647211320845052;3.0; W_Afhandelen leads
207843.0;3.9382292420051597;4.0; W_Completeren aanvraag
207810.0;0.4157216451119985;6.0; W_Completeren aanvraag
207759.0;0.10959889567813708;7.0; A_FINALIZED
207798.0;1.3529233942839949;10.0; O_CREATED
207867.0;2.462994526114115;8.0; A_ACCEPTED
207717.0;0.7319965159034463;6.0; W_Completeren aanvraag
207873.0;1.1730781672016608;4.0; W_Completeren aanvraag
207882.0;0.26766488678593303;3.0; A_PREACCEPTED
0.3945415576299032;;;
